data,temperatura_c,umidade_relativa
2023-03-01,28.5,75
2023-03-02,30.1,80
2023-03-03,27.9,70
2023-03-04,26.3,65
2023-03-05,29.7,78
2023-03-06,31.2,82
2023-03-07,25.8,60
2023-03-08,28.0,72
2023-03-09,30.5,85
2023-03-10,27.4,68
2023-03-11,29.1,74
2023-03-12,32.0,88
2023-03-13,26.7,63
2023-03-14,28.9,77
2023-03-15,31.5,83
2023-03-16,25.2,58
2023-03-17,27.8,71
2023-03-18,30.3,79
2023-03-19,29.6,76
2023-03-20,28.4,73
2023-03-21,31.8,86
2023-03-22,26.1,62
2023-03-23,27.5,69
2023-03-24,29.9,81
2023-03-25,30.7,84
2023-03-26,25.5,59
2023-03-27,28.2,74
2023-03-28,31.0,87
2023-03-29,27.1,67
2023-03-30,29.3,76
2023-03-31,30.9,82
2023-04-01,28.6,75
2023-04-02,26.9,64
2023-04-03,29.4,78
2023-04-04,31.3,85
2023-04-05,27.2,70
2023-04-06,28.8,73
2023-04-07,30.6,81
2023-04-08,25.9,61
2023-04-09,27.7,68
2023-04-10,29.8,79
2023-04-11,31.6,86
2023-04-12,26.4,65
2023-04-13,28.3,72
2023-04-14,30.2,83
2023-04-15,27.0,69
2023-04-16,29.5,77
2023-04-17,31.9,88
2023-04-18,25.6,60
2023-04-19,28.1,74
2023-04-20,30.4,80
2023-04-21,26.8,66
2023-04-22,29.2,76
2023-04-23,31.1,84
2023-04-24,27.3,71
2023-04-25,28.7,75
2023-04-26,30.8,82
2023-04-27,25.4,58
2023-04-28,27.6,70
2023-04-29,29.0,77
2023-04-30,31.4,87
2023-05-01,28.5,74
2023-05-02,26.6,63
2023-05-03,29.3,79
2023-05-04,31.0,85
2023-05-05,27.4,69
2023-05-06,28.9,73
2023-05-07,30.5,81
2023-05-08,26.0,62
2023-05-09,27.8,68
2023-05-10,30.0,80
2023-05-11,31.7,86
2023-05-12,26.5,65
2023-05-13,28.4,72
2023-05-14,30.3,83
2023-05-15,27.1,70
2023-05-16,29.6,77
2023-05-17,32.1,89
2023-05-18,25.7,59
2023-05-19,28.2,74
2023-05-20,30.6,81
2023-05-21,26.9,66
2023-05-22,29.4,76
2023-05-23,31.2,84
2023-05-24,27.5,71
2023-05-25,28.8,75
2023-05-26,30.9,83
2023-05-27,25.3,57
2023-05-28,27.7,70
2023-05-29,29.1,78
2023-05-30,31.5,87
2023-05-31,28.6,74
2023-06-01,26.7,64
2023-06-02,29.5,79
2023-06-03,31.1,85
2023-06-04,27.3,69
2023-06-05,28.0,73
2023-06-06,30.7,82
2023-06-07,26.2,62
2023-06-08,27.9,68
2023-06-09,30.1,80
2023-06-10,31.8,87
